,Binomial,Leaf Relative water content (water content / water content at saturation),Leaf Water content (molar) per leaf dry mass (WCd),Leaf Water content saturating (molar) (WCs),Leaf Water content total (molar) (WCt),Leaf area index of the site (LAI),Leaf area: in case of compound leaves undefined if leaf or leaflet; undefined if petiole and rhachis in- or excluded,Leaf carbon content per area,Leaf carbon content per dry mass,Leaf carbon/nitrogen (C/N) ratio,Leaf carotenoid content per dry mass,Leaf chlorophyll a content per dry mass,Leaf chlorophyll a+b content per area,Leaf chlorophyll a/b ratio,Leaf chlorophyll b content per dry mass,Leaf chlorophyll content (a+b) per dry mass,Leaf compoundness,Leaf dry matter content per leaf water-saturated mass (LDMC),Leaf lamina thickness,"Leaf lifespan (longevity, retention time, LL)",Leaf nitrogen content per area (Narea),Leaf nitrogen content per dry mass (Nmass),Leaf petiole length,Leaf phenology type,Leaf phosphorus content per area (Parea),Leaf phosphorus content per dry mass (Pmass),Leaf position,Leaf respiration per area at leaf temperature,Leaf respiration per dry mass,Leaf shape: 2. outline,Leaf shape: 3. pointed/round,Leaf shape: 4. length versus breadth,Leaf shape: 5. leaf base,Leaf shape: 6. leaf petiole type,Leaf thickness,Leaf tissue density,Leaf transpiration (molar) per dry mass,Leaf transpiration rate per dry mass (daytime),Leaf water content per leaf dry mass,"Leaf water content per leaf water-saturated mass (LWC, 1-LDMC)",Leaf water content saturating,Leaf water content total,Leaf water saturation deficit
1403,Ilex aquifolium,,276.6621053,,,2.171666622,10-100,,49.65,35.92619392,,,,,,,simple,350.0486068,,>24,,1.48,10.0,evergreen,,0.101,,,,toothed,pointed,1-3 times as long as wide,cuneate,petiolate,0.513,278.7254443,,,1.856792653,64.99513932,,,
1404,Rosa arvensis,,276.28325,,,1.799444437,10-100,,43.3335,26.24831374,,,,,,,compound,350.3547342,,,,2.4,,semi-evergreen,,0.219,,,,toothed,pointed,1-3 times as long as wide,rounded,petiolate,,,,,1.85425,64.96452658,,,
1405,Ulmus glabra,,262.2084322,,,1.230416656,10-100,,,,,,,,,,simple,362.3466552,,,,2.18,2.5,aestival,,0.179,,,,toothed,pointed,1-3 times as long as wide,cuneate,petiolate,0.176,340.4842896,,,1.759788136,63.76533448,,,
1406,Castanea sativa,,259.8023162,,,2.59041667,10-100,,48.405,22.59213867,,,,,,,simple,364.4793439,,02-Jun,,2.38,5.0,aestival,,0.143,,,14.77,toothed,pointed,>3 times as long as wide,rounded,petiolate,,,,,1.743639706,63.55206561,,,
1407,Nepeta cataria,,259.3703704,,,1.103888869,10-100,,39.49,8.447058824,,,,,,,simple,364.8648649,,,,1.15501793,,,,,,,,toothed,pointed,1-3 times as long as wide,cordate,petiolate,0.13,182.908241,,,1.740740741,63.51351351,,,
1408,Sorbus aucuparia,,255.7673868,,,1.423333287,10-100,,49.55434504,29.26519056,,,,,,,compound,368.1126812,,06-Dec,,1.93645,4.0,aestival,,0.184,,,,toothed,pointed,>3 times as long as wide,rounded,petiolate,0.21,352.2387691,,,1.716559643,63.18873188,,,
1409,Filipendula ulmaria,72.81110166,90.1718043,34.16141183,125.8169211,1.292638898,10-100,,52.14164646,18.76705035,1.82,,,,,8.54,compound,380.9934319,,,,2.778361304,,evergreen,,0.02,,,,toothed,pointed,>3 times as long as wide,not applicable,petiolate,0.125,282.275191,0.0207,1.342748833,1.624717195,61.90065681,0.615520934,2.266971551,27.18889834
1410,Corylus avellana,,226.5776399,,,1.705555558,10-100,,45.21,23.28132242,,,,,,,simple,396.7222708,,,,2.46,11.5,aestival,,0.172,,,,toothed,pointed,1-3 times as long as wide,cordate,petiolate,0.1525,361.0752688,,,1.520655301,60.32777292,,,
1411,Malus sylvestris,,224.6812239,,,1.532638907,10-100,,,,,,,,,,simple,398.7355812,,,,2.17,22.5,aestival,,0.143,,,,toothed,pointed,1-3 times as long as wide,rounded,petiolate,,,,,1.507927677,60.12644188,,,
1412,Agrimonia eupatoria,,220.8335005,,,1.769652784,10-100,,45.7,24.37333333,,,,,,,compound,402.884,,,,1.875,,aestival,,0.178,,,,toothed,pointed,>3 times as long as wide,cuneate,petiolate,,,,,1.48210403,59.7116,,,
1413,Rosa canina,,210.6511246,,,2.069444418,10-100,,47.1,21.08026909,,,,,,2.618645174,compound,414.290377,,,,2.324,,semi-evergreen,,0.338,,,,toothed,pointed,1-3 times as long as wide,rounded,petiolate,0.175,435.3209126,,,1.413765937,58.5709623,,,
1414,Rubus idaeus,,207.9825993,,,0.865694404,10-100,,49.7,21.70305677,,,,,,,compound,417.4163847,,,,2.29,45.0,aestival,,0.052,,,,toothed,pointed,length = width,rounded,petiolate,,,,,1.395856371,58.25836153,,,
1415,Valeriana officinalis,,,,,0.629305542,10-100,,,,,,,,,,compound,,,,,,,aestival,,,,,,toothed,pointed,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
1416,Crepis capillaris,,,,,0.784444451,10-100,,,,,,,,,,simple,,,,,,,hibernal,,,,,,toothed,pointed,>3 times as long as wide,sagittate,petiolate,,,,,,,,,
1417,Arctium minus,,,,,1.103888869,10-100,,46.645,15.19381108,,,,,,,simple,,,02-Jun,,3.07,600.0,aestival,,,,,,toothed,pointed,1-3 times as long as wide,cordate,petiolate,0.17,188.4191177,,,,,,,
1418,Veronica anagallis-aquatica,,,,,1.103888869,10-100,,45.399,16.67242013,,,,,,,simple,,,,,2.723,,evergreen,,,,,,toothed,pointed,>3 times as long as wide,rounded,petiolate,0.24,147.5279107,,,,,,,
1419,Viburnum lantana,,,,,1.132916689,10-100,,58.00779407,26.65997803,,,,,,,simple,,,6.3,,1.129,15.0,aestival,,,,,,toothed,pointed,1-3 times as long as wide,cordate,petiolate,0.197043052,419.3785587,,,,,,,
1420,Populus nigra,,,,,1.230833292,10-100,,46.04,18.68506494,,,,,,,simple,,,06-Dec,,2.28,45.0,aestival,,0.085,,,,toothed,pointed,1-3 times as long as wide,truncate,petiolate,,,,,,,,,
1421,Tilia platyphyllos,,,,,1.25666666,10-100,,,,,,,,,,simple,,,,,3.82,35.0,aestival,,,,,,toothed,pointed,1-3 times as long as wide,cordate,petiolate,0.119,,,,,,,,
1422,Prunus avium,,,,,1.260277748,10-100,,46.65022222,24.06370158,,,,,,,simple,,,,,1.83,50.0,aestival,,0.2008,,,,toothed,mucronate,1-3 times as long as wide,cuneate,petiolate,0.124043103,596.739177,,,,,,,
1423,Tilia cordata,,,,,1.260277748,10-100,,47.34975,20.43781445,,,,,,,simple,,,,,2.54,35.0,aestival,,0.234,,,26.791,toothed,pointed,1-3 times as long as wide,cordate,petiolate,0.133,379.1666667,,,,,,,
1424,Impatiens glandulifera,,,,,1.399166703,10-100,,,,,,,,,,simple,,,,,,,aestival,,,,,,toothed,pointed,1-3 times as long as wide,rounded,petiolate,,,,,,,,,
1425,Rosa mollis,,,,,1.532638907,10-100,,,,,,,,,,compound,,,,,,,semi-evergreen,,,,,,toothed,rounded,1-3 times as long as wide,,petiolate,,,,,,,,,
1426,Rosa tomentosa,,,,,1.532638907,10-100,,,,,,,,,,compound,,,,,,,semi-evergreen,,,,,,toothed,pointed,1-3 times as long as wide,rounded,petiolate,,,,,,,,,
1427,Salix pentandra,,,,,1.582638919,10-100,,,,,,,,,,simple,,,,,,5.0,aestival,,,,,,toothed,pointed,1-3 times as long as wide,rounded,petiolate,,,,,,,,,
1428,Carex paniculata,,,,,1.629722238,10-100,,,,,,,,,,simple,,,,,,,,,,,,,toothed,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,,,,,
1429,Comarum palustre,,,,,1.765972257,10-100,,,,1.7,,,,,9.1,compound,,,,,0.13,70.0,aestival,,0.02,,,,toothed,pointed,length = width,cuneate,petiolate,,,,,,,,,
1430,Trifolium medium,,,,,1.771388888,10-100,,,,1.64,,,,,8.66,compound,,,,,,80.0,,,,,,,toothed,pointed,length = width,cuneate,petiolate,,,,,,,,,
1431,Rubus saxatilis,,,,,1.800486088,10-100,,47.4,35.63909774,1.045,,,,,5.76,compound,,,,,2.285782051,45.0,,,0.257,,,,toothed,pointed,length = width,cuneate,petiolate,,,,,,,,,
1432,Spiraea salicifolia,,,,,1.891805589,10-100,,,,0.84,,,,,4.8,simple,,,,,1.94,,aestival,,0.143,,,,toothed,pointed,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
1433,Mentha aquatica,,,,,1.90291667,10-100,,45.82694081,27.79687772,,,,,,,simple,,,,,2.785621274,,evergreen,,0.132287588,,,,toothed,pointed,1-3 times as long as wide,truncate,petiolate,,,,,,,,,
1434,Aegopodium podagraria,,,,,1.926527739,10-100,,40.63115044,18.91062376,,,,,,,compound,,,,,2.14858859,,aestival,,0.212796456,,,,toothed,pointed,1-3 times as long as wide,rounded,petiolate,,,,,,,,,
1435,Circaea lutetiana,,,,,2.018263869,10-100,,42.12243646,16.55646541,3.067,,,,,18.672,simple,,,,,20-30,,aestival,,3.57E-02,,,,toothed,pointed,1-3 times as long as wide,truncate,petiolate,,,,,,,,,
1436,Pimpinella major,,,,,2.126944542,10-100,,42.83,18.78508772,,,,,,,compound,,,,,2.28,,,,0.3665,,,,toothed,pointed,1-3 times as long as wide,cuneate,petiolate,0.15,187.4527589,,,,,,,
1437,Epilobium ciliatum,,,,,3.219583273,10-100,,,,,,,,,,simple,,,,,,2.25,evergreen,,,,,,toothed,pointed,1-3 times as long as wide,cordate,petiolate,,,,,,,,,
1438,Lapsana communis,,,,,3.219583273,10-100,,,,,,,,,,simple,,,,,,,semi-evergreen,,,,,,toothed,pointed,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
1439,Berula erecta,,,,,,10-100,,,,,,,,,,compound,,,,,,,evergreen,,,,,,toothed,pointed,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
1440,Bidens tripartita,,,,,,10-100,,,,,,,,,,compound,,,,,,,,,,,,,toothed,pointed,>3 times as long as wide,cuneate,petiolate,,,,,,,,,
1441,Carex vesicaria,,,,,,10-100,,,,,,,,,,simple,,,,,,,,,,,,,toothed,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,,,,,
1442,Epilobium montanum,,,,,,10-100,,,,,,,,,,simple,,,,,,6.0,evergreen,,,,,,toothed,pointed,1-3 times as long as wide,rounded,petiolate,,,,,,,,,
1443,Escallonia rubra,,,,,,10-100,,,,,,,,,,simple,,,,,,0.0,evergreen,,,,,,toothed,pointed,1-3 times as long as wide,cuneate,sessile,,,,,,,,,
1444,Galeopsis speciosa,,,,,,10-100,,,,,,,,,,simple,,,,,,,,,,,,,toothed,pointed,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
1445,Geum urbanum,,,,,,10-100,,,,,,,,,,compound,,,,,,,evergreen,,,,,,toothed,pointed,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
1446,Hyoscyamus niger,,,,,,10-100,,,,,,,,,,simple,,,,,5.4,,,,,,,,toothed,pointed,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
1447,Impatiens capensis,,,,,,10-100,,,,,,,,,,simple,,,,,,,,,,,,,toothed,pointed,1-3 times as long as wide,cuneate,petiolate,0.055,383.5428778,,,,,,,
1448,Impatiens noli-tangere,,,,,,10-100,,,,,,,,,,simple,,,,,3.98,,,,,,,,toothed,pointed,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
1449,Lamium album,,,,,,10-100,,,,,,,,,,simple,,,,,,,evergreen,,,,,,toothed,pointed,1-3 times as long as wide,cordate,petiolate,,,,,,,,,
1450,Ligusticum scoticum,,,,,,10-100,,,,2.78,,,3.99,,6.09,compound,,,,,,,,,,,,,toothed,pointed,length = width,cuneate,petiolate,,,,,,,,,
1451,Mentha spicata,,,,,,10-100,,,,,,,,,,simple,,,,,,,evergreen,,,,,,toothed,pointed,>3 times as long as wide,rounded,sessile,,,,,,,,,
1452,Oenothera stricta,,,,,,10-100,,,,,,,,,,simple,,,,,,0.0,,,,,,,toothed,pointed,>3 times as long as wide,cuneate,petiolate,,,,,,,,,
1453,Papaver rhoeas,,,,,,10-100,,,,,,,,,,compound,,,,,,,aestival,,,,,,toothed,pointed,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
1454,Prunus domestica,,,,,,10-100,,,,,,,,,,simple,,,,,,5.0,aestival,,,,,,toothed,pointed,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
1455,Rosa rubiginosa,,,,,,10-100,,,,,,,,,,compound,,,,,,,semi-evergreen,,,,,,toothed,pointed,1-3 times as long as wide,rounded,petiolate,,,,,,,,,
1456,Rosa sherardii,,,,,,10-100,,,,,,,,,,compound,,,,,,,semi-evergreen,,,,,,toothed,pointed,1-3 times as long as wide,rounded,petiolate,,,,,,,,,
1457,Rosa stylosa,,,,,,10-100,,,,,,,,,,compound,,,,,,,semi-evergreen,,,,,,toothed,pointed,1-3 times as long as wide,rounded,petiolate,,,,,,,,,
1458,Scrophularia nodosa,,,,,,10-100,,,,,,,,,,simple,,,,,,,aestival,,,,,,toothed,pointed,1-3 times as long as wide,truncate,petiolate,,,,,,,,,
1459,Scrophularia scorodonia,,,,,,10-100,,,,,,,,,,simple,,,,,,,,,,,,,toothed,pointed,1-3 times as long as wide,cordate,petiolate,,,,,,,,,
1460,Scrophularia vernalis,,,,,,10-100,,,,,,,,,,simple,,,,,,,,,,,,,toothed,pointed,1-3 times as long as wide,cordate,petiolate,,,,,,,,,
1461,Scutellaria altissima,,,,,,10-100,,,,,,,,,,,,,,,,,,,,,,,toothed,,,,petiolate,,,,,,,,,
1462,Senecio sarracenicus,,,,,,10-100,,,,,,,,,,simple,,,,,,0.0,,,,,,,toothed,pointed,1-3 times as long as wide,not applicable,sessile,,,,,,,,,
1463,Sinapis alba,,,,,,10-100,,,,,,,,,,compound,,,,,,0.0,,,,,,,toothed,pointed,1-3 times as long as wide,not applicable,petiolate,,,,,,,,,
1464,Sorbus eminens,,,,,,10-100,,,,,,,,,,simple,,,,,,15.0,aestival,,,,,,toothed,pointed,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
1465,Sorbus hibernica,,,,,,10-100,,,,,,,,,,simple,,,,,,15.0,aestival,,,,,,toothed,rounded,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
1466,Sorbus lancastriensis,,,,,,10-100,,,,,,,,,,simple,,,,,,15.0,aestival,,,,,,toothed,rounded,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
1467,Sorbus leptophylla,,,,,,10-100,,,,,,,,,,simple,,,,,,,aestival,,,,,,toothed,pointed,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
1468,Sorbus porrigentiformis,,,,,,10-100,,,,,,,,,,simple,,,,,,14.0,aestival,,,,,,toothed,pointed,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
1469,Sorbus rupicola,,,,,,10-100,,,,,,,,,,simple,,,,,,8.0,aestival,,,,,,toothed,rounded,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
1470,Sorbus wilmottiana,,,,,,10-100,,,,,,,,,,simple,,,,,,15.0,aestival,,,,,,toothed,pointed,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
1471,Urtica urens,,,,,,10-100,,,,,,,,,,simple,,,,,,15.0,aestival,,,,,,toothed,pointed,1-3 times as long as wide,cordate,petiolate,,,,,,,,,
1472,Sambucus ebulus,,737.2189972,,,1.47777772,100-1000,,,,,,,,,,compound,168.13,,,,,,aestival,,,,,,toothed,pointed,1-3 times as long as wide,rounded,petiolate,,,,,4.947778505,83.187,,,
1473,Sambucus racemosa,,678.5439561,,,0.865694404,100-1000,,,,,,,,,,compound,180.075,,,,5.99,85.0,aestival,,,,,,toothed,pointed,1-3 times as long as wide,cuneate,petiolate,,,,,4.553986283,81.9925,,,
1474,Ailanthus altissima,,541.8181818,,,2.509166718,100-1000,,46.46,21.76,,,,,,,compound,215.6862745,,,,2.83,,,,0.196,,,,toothed,,,,petiolate,,,,,3.636363636,78.43137255,,,
1475,Sambucus nigra,,446.7249231,,,1.200555563,100-1000,,44.78203501,12.40727115,,,,,,,compound,250.1154912,,06-Dec,,3.33,70.0,aestival,,0.243,,,,toothed,pointed,1-3 times as long as wide,rounded,petiolate,0.1435,,,,2.998153846,74.98845088,,,
1476,Angelica archangelica,,437.660367,,,,100-1000,,,,,,,,,,compound,253.98,,,,3.54,,,,0.02,,,,toothed,pointed,1-3 times as long as wide,cuneate,petiolate,,,,,2.937317899,74.602,,,
1477,Buddleja davidii,,316.625,,,,100-1000,,,,,,,,,,simple,320.0,,,,1.98,,,,0.234,,,,toothed,pointed,>3 times as long as wide,cuneate,petiolate,,,,,2.125,68.0,,,
1478,Lepidium latifolium,,,,,0.451527774,100-1000,,43.1782,17.9274,,,,,,,simple,,,,,3.96,,,,0.132,,,,toothed,pointed,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
1479,Angelica sylvestris,,,,,1.533333302,100-1000,,46.14457122,15.513476,,,,,,,compound,,,,,2.974483038,,aestival,,0.32,,,,toothed,pointed,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
1480,Cladium mariscus,,,,,1.629722238,100-1000,,,,,,,,,,simple,,,,,,,evergreen,,,,,,toothed,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,,,,,
1481,Cirsium heterophyllum,,,,,,100-1000,,,,,,,,,9.4,simple,,,,,,0.0,,,,,,28.4085,toothed,pointed,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
1482,Petasites pyrenaicus,,,,,,100-1000,,,,,,,,,,simple,,,,,,,semi-evergreen,,,,,,toothed,rounded,length = width,cordate,petiolate,,,,,,,,,
1483,Senecio smithii,,,,,,100-1000,,,,,,,,,,simple,,,,,,0.0,,,,,,,toothed,pointed,1-3 times as long as wide,cordate,petiolate,,,,,,,,,
1484,Najas marina,,2293.222587,,,1.956944466,,,,,,,,,,,simple,61.01,1.0-2.0,02-Jun,,,,aestival,,,submerged,,,toothed,pointed,>3 times as long as wide,parallel-sided,sessile,,,,,15.39075561,93.899,,,
1485,Arnoseris minima,,1344.584603,,,1.536111116,,,,,,,,,,,simple,99.76,,,,,,,,,,,,toothed,rounded,1-3 times as long as wide,cuneate,petiolate,,,,,9.024057739,90.024,,,
1486,Hypochaeris glabra,,,,,1.392500043,,,36.82,20.12021858,,,,,,,simple,115.334334,,,,1.83,,,,,,,,toothed,pointed,1-3 times as long as wide,cuneate,petiolate,0.288,130.957006,,,7.670445004,88.4665666,,,
1487,Helminthotheca echioides,,971.3007519,,,,,,,,,,,,,,simple,133.0,,,,,,,,,,,,toothed,pointed,>3 times as long as wide,cordate,petiolate,,,,,6.518796993,86.7,,,
1488,Senecio ovatus,,968.2765447,,,1.132916689,,,,,,,,,,,,133.36,,,,2.278,,,,,,,,toothed,,,,petiolate,,,,,6.4985003,86.664,,,
1489,Bidens connata,,943.9742503,,,,,,,,,,,,,,simple,136.4088204,,,,,,,,,,,,toothed,pointed,1-3 times as long as wide,cuneate,petiolate,,,,,6.335397653,86.35911796,,,
1490,Oenanthe lachenalii,,837.8856802,,,,,,,,,,,,,,compound,150.98,,,,,,,,,,,,toothed,rounded,1-3 times as long as wide,cuneate,petiolate,,,,,5.623393827,84.902,,,
1491,Isatis tinctoria,,794.9055123,,,1.36722219,,,,,,,,,,,simple,157.855,,,,,0.0,,,,,,,toothed,pointed,1-3 times as long as wide,sagittate,petiolate,,,,,5.334936324,84.2145,,,
1492,Hieracium umbellatum,,727.7284495,,,1.704722226,,,46.7,19.62184874,,,,,,,simple,169.95,,,,2.38,,,,0.200167716,,,,toothed,pointed,>3 times as long as wide,,,,,,,4.884083554,83.005,,,
1493,Seseli libanotis,,708.800806,,,2.307916641,,,,,,,,,,,compound,173.7,,,,,,,,,,,,toothed,pointed,1-3 times as long as wide,not applicable,petiolate,,,,,4.757052389,82.63,,,
1494,Asplenium septentrionale,,678.6858127,,,2.379305601,,,,,,,,,,,compound,180.02,,Dec-24,,,10.0,evergreen,,,,,,toothed,pointed,,parallel-sided,petiolate,,,,,4.55493834,81.998,,,
1495,Lactuca virosa,,664.9407844,,,,,,,,,,,,,,simple,183.06,,,,,,,,,,,,toothed,rounded,1-3 times as long as wide,cordate,petiolate,,,,,4.462689829,81.694,,,
1496,Actaea spicata,,633.1009148,,,1.768472195,,,45.62046667,19.83254812,,,,,,,compound,190.5782332,,,,2.300282667,,,,,,,,toothed,pointed,1-3 times as long as wide,rounded,petiolate,,,,,4.248999428,80.94217668,,,
1497,Crepis vesicaria,,608.6528018,,,1.840763927,,,,,,,,,,,simple,196.66,,,,2.75997,0.0,,,,,,,toothed,pointed,>3 times as long as wide,not applicable,petiolate,,,,,4.084918133,80.334,,,
1498,Erysimum cheiranthoides,,538.3010748,,,1.159166694,,,,,,,,,,5.11,simple,216.79,,,,,,,,,,,,toothed,pointed,1-3 times as long as wide,cuneate,petiolate,,,,,3.612758891,78.321,,,
1499,Selinum carvifolia,,520.8615735,,,1.533333302,,,,,,,,,,,compound,222.88,,06-Dec,,,,,,,,,,toothed,pointed,1-3 times as long as wide,cuneate,petiolate,,,,,3.495715258,77.712,,,
1500,Dryopteris affinis,,477.9231178,,,2.547222138,,,,,,,,,,,compound,238.22,,,,2,240.0,semi-evergreen,,,,,,toothed,rounded,>3 times as long as wide,decurrent,petiolate,0.17,219.7352775,,,3.207537703,76.178,,,
1501,Polystichum aculeatum,,405.6763494,,,2.547222138,,,,,,,,,,,compound,268.68,,Dec-24,,,275.0,semi-evergreen,,,,,,toothed,aristate,>3 times as long as wide,cuneate,petiolate,,,,,2.722660063,73.132,,,
1502,Dryopteris expansa,,404.2841925,,,2.547222138,,,,,,,,,,,compound,269.34,,02-Jun,,,180.0,aestival,,,,,53.20099526,toothed,mucronate,>3 times as long as wide,narrowed,petiolate,,,,,2.713316728,73.066,,,
1503,Clematis vitalba,,373.908676,,,1.830416679,,,41.78,18.58540925,,,,,,,compound,285.14762,,,,2.248,,,,,,,,toothed,pointed,1-3 times as long as wide,rounded,petiolate,,,,,2.509454202,71.485238,,,
1504,Solidago canadensis,,361.2739726,,,1.674722195,,,44.643,28.36277001,,,,,,,simple,292.0,,,,1.574,0.0,,,,,,,toothed,pointed,>3 times as long as wide,cuneate,petiolate,0.22,370.0,,,2.424657534,70.8,,,
1505,Polystichum lonchitis,,340.8254381,,,1.00222218,,,,,,,,,,,compound,304.19,,Dec-24,,2.084,100.0,evergreen,,,,,,toothed,pointed,>3 times as long as wide,cuneate,petiolate,0.29,241.7061611,,,2.287419047,69.581,,,
1506,Agrimonia procera,,337.1887554,,,2.102916718,,,,,,,,,,,compound,306.48,,,,,,,,,,,,toothed,pointed,>3 times as long as wide,cuneate,petiolate,,,,,2.263011781,69.352,,,
1507,Solidago gigantea,,320.856041,,,1.557500005,,,47.8942,38.7893696,,,,,,,simple,317.1231926,,,,1.2643,0.0,,,,,,,toothed,pointed,>3 times as long as wide,cuneate,petiolate,0.22,450.0,,,2.153396249,68.28768074,,,
1508,Rubus vestitus,,267.0777848,,,1.767499983,,,45.98133867,23.25354638,,,,,,,compound,358.1061173,,,,2.52,,semi-evergreen,,0.184,,,,toothed,pointed,length = width,rounded,petiolate,,,,,1.792468354,64.18938827,,,
1509,Brassica napus,,,,,0.544166684,,,,,,,,,,,simple,,,,,4.98,0.0,,,,,,,toothed,rounded,>3 times as long as wide,sagittate,connate,,,,,,,,,
1510,Trifolium bocconei,,,,,0.904583335,,,47.15105,18.81914719,,,,,,,compound,,,,,2.523,,,,0.0913,,,,toothed,pointed,length = width,cuneate,petiolate,,,,,,,,,
1511,Abutilon theophrasti,,,,,1.103888869,,,42.396,8.214687076,,,,,,,simple,,,03-Jun,,5.161,700.0,aestival,,<1,,,,toothed,acuminate,length=width,cordate,petiolate,0.12,270.1500127,,,,,,,
1512,Hesperis matronalis,,,,,1.103888869,,,41.107,12.18346177,,,,,,,simple,,,,,3.374,,evergreen,,,,,,toothed,pointed,1-3 times as long as wide,cuneate,petiolate,0.27,204.4399139,,,,,,,
1513,Thlaspi arvense,,,,,1.103888869,,,,,,,,,,,simple,,,,,4.04,0.0,aestival,,,,,,toothed,pointed,1-3 times as long as wide,sagittate,petiolate,0.21,203.7037037,,,,,,,
1514,Erodium moschatum,,,,,1.179305553,,,,,,,,,,,compound,,,,,,,,,,,,,toothed,pointed,>3 times as long as wide,cuneate,petiolate,,,,,,,,,
1515,Rosa caesia,,,,,1.532638907,,,,,,,,,,,compound,,,,,,,semi-evergreen,,,,,,toothed,pointed,1-3 times as long as wide,rounded,petiolate,,,,,,,,,
1516,Ranunculus auricomus,,,,,1.533333302,,,,,,,,,,,simple,,,,,,,vernal,,,,,,toothed,pointed,length = width,cordate,petiolate,,,,,,,,,
1517,Rosa micrantha,,,,,1.55138886,,,,,,,,,,,compound,,,,,1.90268,,semi-evergreen,,,,,,toothed,pointed,1-3 times as long as wide,rounded,petiolate,,,,,,,,,
1518,Crepis foetida,,,,,1.555694461,,,42.2,15.74626866,,,,,,,simple,,,,,2.08,,,,0.3475,,,,toothed,pointed,>3 times as long as wide,sagittate,petiolate,,,,,,,,,
1519,Athyrium filix-femina,,,,,1.688194513,,,,,,,,,,,compound,,,06-Dec,,2.449,195.0,aestival,,,,,43.47826087,toothed,pointed,1-3 times as long as wide,truncate,petiolate,0.06,418.7492761,,,,,,,
1520,Rubus caesius,,,,,1.926527739,,,44.77218887,25.554,,,,,,,compound,,,,,2.577867607,,aestival,,0.06262,,,,toothed,rounded,length = width,,petiolate,,,,,,,,,
1521,Dryopteris dilatata,,,,,2.04909718,,,57.83335804,26.26241684,,,,,,,compound,,,06-Dec,,2.259665881,285.0,aestival,,0.159145497,,,,toothed,mucronate,>3 times as long as wide,narrowed,petiolate,,,,,,,,,
1522,Acaena novae-zelandiae,,,,,2.689583302,,,,,,,,,,,compound,,,,,,,evergreen,,,,,,toothed,rounded,>3 times as long as wide,truncate,petiolate,,,,,,,,,
1523,Brassica nigra,,,,,3.219583273,,,,,,,,,,,simple,,,,,,,,,,,,,toothed,rounded,1-3 times as long as wide,not applicable,petiolate,,,,,,,,,
1524,Brassica rapa,,,,,3.219583273,,,,,,,,,,,simple,,,,,,0.0,evergreen,,,,,,toothed,rounded,>3 times as long as wide,sagittate,connate,,,,,,,,,
1525,Arabis alpina,,,,,,,,,,,,,,,,simple,,,,,2.94,0.0,,,,,,,toothed,pointed,1-3 times as long as wide,sagittate,petiolate,,,,,,,,,
1526,Asplenium adiantum-nigrum,,,,,,,,,,,,,,,,compound,,,Dec-24,,,250.0,semi-evergreen,,,,,,toothed,pointed,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
1527,Asplenium obovatum,,,,,,,,,,,,,,,,compound,,,Dec-24,,,92.5,semi-evergreen,,,,,,toothed,rounded,>3 times as long as wide,cuneate,petiolate,,,,,,,,,
1528,Atriplex glabriuscula,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,toothed,pointed,length = width,truncate,,,,,,,,,,
1529,Cardamine impatiens,,,,,,,,,,,,,,,,compound,,,,,,,,,,,,,toothed,pointed,>3 times as long as wide,cuneate,petiolate,,,,,,,,,
1530,Crepis paludosa,,,,,,,,,,,,,,,,simple,,,,,2.55,0.0,,,,,,,toothed,pointed,>3 times as long as wide,sagittate,petiolate,,,,,,,,,
1531,Cryptogramma crispa,,,,,,,,,,,,,,,,compound,,,02-Jun,,,11.25,aestival,,,,,,toothed,pointed,,cuneate,petiolate,,,,,,,,,
1532,Draba incana,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,toothed,pointed,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
1533,Dryopteris aemula,,,,,,,,,,,,,,,,compound,,,Dec-24,,,300.0,semi-evergreen,,,,,,toothed,mucronate,>3 times as long as wide,truncate,petiolate,,,,,,,,,
